objectid,parentid,title,subject_name,date,description,image_alt_text,event_type,political_affiliation,party_nominee_yes_or_no,president_or_vice_president,election_outcome,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg660_box3_11_1185,,Vote Simon 1988,"Simon, Paul",1988,Paul Simon. Democratic candidate for President of the United States.,"Round, black button with white and red text reading ""Vote SIMON 1988""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1185,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1185.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1185.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1185_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1185_th.jpg
mg660_box3_11_1186,,Paul Simon '88,"Simon, Paul",1988,Paul Simon. Democratic candidate for President of the United States.,"Round, blue and white button with a photograph of Paul Simon and blue text reading ""Paul Simon '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1186,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1186.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1186.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1186_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1186_th.jpg
mg660_box3_11_1187,,Simon '88,"Simon, Paul",1988,Paul Simon. Democratic candidate for President of the United States.,"Round, red button with a black and white cartoon drawing of Paul Simon and the White House. White text reads ""SIMON '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1187,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1187.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1187.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1187_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1187_th.jpg
mg660_box3_11_1188,,Richard A. Gephardt '88,"Gephardt, Richard A.",1988,Richard Gephardt. Democratic candidate for President of the United States.,"Round, white button with a blue and white photograph of Richard Gephardt and blue text reading ""Richard A. Gephardt '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1188,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1188.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1188.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1188_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1188_th.jpg
mg660_box3_11_1189,,Gephardt 1988 for President,"Gephardt, Richard A.",1988,Richard Gephardt. Democratic candidate for President of the United States.,"Round, red button with a black and white photograph of Richard Gephardt within a white outline of the state of Iowa. White text reads ""GEPHARDT 1988 FOR PRESIDENT""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1189,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1189.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1189.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1189_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1189_th.jpg
mg660_box3_11_1190,,…in the Truman Tradition '88 Gephardt,"Gephardt, Richard A.",1988,Richard Gephardt. Democratic candidate for President of the United States.,"Round, orange button with a black and white photograph of Richard Gephardt. Black and white text reads ""...in the TRUMAN TRADITION '88 GEPHARDT""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1190,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1190.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1190.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1190_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1190_th.jpg
mg660_box3_11_1191,,Simon Leadership in '88,"Simon, Paul",1988,Paul Simon. Democratic candidate for President of the United States.,"Round, white button with a black and white photograph of Paul Simon and black text reading ""SIMON LEADERSHIP IN '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1191,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1191.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1191.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1191_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1191_th.jpg
mg660_box3_11_1192,,Haig in 1988,"Haig, Alexander",1988,Alexander Haig. Republican candidate for President of the United States.,"Round button with red, white, and blue stars and stripes decoration. Blue and white text reads ""HAIG IN 1988""",President,Republican,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1192,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1192.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1192.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1192_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1192_th.jpg
mg660_box3_11_1193,,Haig '88,"Haig, Alexander",1988,Alexander Haig. Republican candidate for President of the United States.,"Round button with red and white stripes and blue in the top left quarter. Black text reads ""HAIG '88""",President,Republican,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1193,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1193.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1193.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1193_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1193_th.jpg
mg660_box3_11_1194,,Haig for President,"Haig, Alexander",1988,Alexander Haig. Republican candidate for President of the United States.,"Round, white button with red and blue text reading ""HAIG FOR PRESIDENT""",President,Republican,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1194,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1194.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1194.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1194_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1194_th.jpg
mg660_box3_11_1195,,President Gary Hart - 1988,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, white button with a black and white photograph of Gary Hart surrounded by blue text reading ""PRESIDENT GARY HART - 1988""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1195,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1195.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1195.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1195_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1195_th.jpg
mg660_box3_11_1196,,Gephardt For a United America in '88,"Gephardt, Richard A.",1988,Richard Gephardt. Democratic candidate for President of the United States.,"Round, white button with a black and white photograph of Richard Gephardt and purple text reading ""GEPHARDT FOR A UNITED AMERICA IN '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1196,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1196.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1196.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1196_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1196_th.jpg
mg660_box3_11_1197,,Dick Gephardt for President,"Gephardt, Richard A.",1988,Richard Gephardt. Democratic candidate for President of the United States.,"Round, yellow button with black text reading ""DICK GEPHARDT For PRESIDENT""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1197,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1197.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1197.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1197_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1197_th.jpg
mg660_box3_11_1198,,Haig for a Strong America in 1988,"Haig, Alexander",1988,Alexander Haig. Republican candidate for President of the United States.,"Round, red button with a black and white photograph of Alexander Haig and white text reading ""HAIG FOR A STRONG AMERICA IN 1988""",President,Republican,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1198,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1198.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1198.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1198_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1198_th.jpg
mg660_box3_11_1199,,For Hart From the Re-Start,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, green button with white text reading ""FOR HART FROM THE RE-START""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1199,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1199.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1199.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1199_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1199_th.jpg
mg660_box3_11_1200,,Gary Hart President 1988,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, blue button with a black and white photograph of Gary Hart within a white outline of the United States. White text reads ""GARY HART PRESIDENT 1988""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1200,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1200.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1200.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1200_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1200_th.jpg
mg660_box3_11_1201,,America Needs Hart,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, blue button with a color photograph of Gary Hart and red text reading ""AMERICA NEEDS HART""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1201,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1201.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1201.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1201_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1201_th.jpg
mg660_box3_11_1202,,Preserve American Values Haig '88,"Haig, Alexander",1988,Alexander Haig. Republican candidate for President of the United States.,"Round, white button with a black and white photograph of Alexander Haig and blue text reading ""Preserve American Values Haig '88""",President,Republican,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1202,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1202.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1202.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1202_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1202_th.jpg
mg660_box3_11_1203,,We Gotta' Have Hart,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, beige button with a color photograph of Gary Hart within a blue outline of the United States. Blue and red text reads ""WE GOTTA' HAVE HART""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1203,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1203.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1203.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1203_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1203_th.jpg
mg660_box3_11_1204,,Hart '88,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, white button with a blue outline of the state of Iowa and blue text reading ""HART '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1204,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1204.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1204.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1204_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1204_th.jpg
mg660_box3_11_1205,,Gary Hart President Feb. 8 1988 Iowa Caucus American Needs Hart,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, white button with a red border and a black and white photograph of Gary Hart in the center. An outline of the state of Iowa contains red text reading ""FEB. 8 1988 IOWA CAUCUS."" An outline of the United States contains red text reading ""AMERICA NEEDS HART."" White text around the edge reads ""GARY HART PRESIDENT""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1205,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1205.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1205.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1205_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1205_th.jpg
mg660_box3_11_1206,,Hart 1988,"Hart, Gary",1988,Gary Hart. Democratic candidate for President of the United States.,"Round, white button with a large blue star. Blue and red text reads ""HART 1988""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_11_1206,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_11_1206.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_11_1206.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_11_1206_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_11_1206_th.jpg
mg660_box3_12_1207,,1987 U.S. Open The Olympic Club 08664 Clubhouse,,1987,U.S. Open Tennis Tournament.,"Button in the shape of a circle sitting atop a broad rectangle. Within the white circle is the red, winged symbol of the Olympic Club in San Francisco and gold text reading ""1987 U.S. OPEN The Olympic Club."" Within the green rectangle is gold and white text reading ""08664 CLUBHOUSE""",Other,,,,,promotional buttons; promotional materials; promotional pins,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_12_1207,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_12_1207.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_12_1207.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_12_1207_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_12_1207_th.jpg
mg660_box3_12_1208,,Jesse Jackson '88 Texas,"Jackson, Jesse",1988,Jesse Jackson. Democratic candidate for President of the United States.,"Round, yellow button with black and red text reading ""JESSE JACKSON '88 TEXAS""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_12_1208,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_12_1208.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_12_1208.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_12_1208_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_12_1208_th.jpg
mg660_box3_12_1209,,Unite America Jackson in '88,"Jackson, Jesse",1988,Jesse Jackson. Democratic candidate for President of the United States.,"Round, red button with a black and white photograph of Jesse Jackson. Black and white text reads ""UNITE AMERICA JACKSON in '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_12_1209,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_12_1209.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_12_1209.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_12_1209_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_12_1209_th.jpg
mg660_box3_12_1210,,For President 1988 Jesse Jackson,"Jackson, Jesse",1988,Jesse Jackson. Democratic candidate for President of the United States.,"Round button with red and blue border and a black and white photograph of Jesse Jackson in the center. White text reads ""FOR PRESIDENT 1988 JESSE JACKSON""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_12_1210,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_12_1210.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_12_1210.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_12_1210_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_12_1210_th.jpg
mg660_box3_12_1211a,,Jesse Jackson '88 Texas,"Jackson, Jesse",1988,Jesse Jackson. Democratic candidate for President of the United States.,"Round, white button with blue and red text reading ""Jesse Jackson '88""",President,Democrat,no,,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box3_12_1211a,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box3_12_1211a.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box3_12_1211a.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box3_12_1211a_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box3_12_1211a_th.jpg
