title,photographer,description,date,date_approximate,subject (lcsh),subject,location,features,latitude,longitude,source,identifier,rights,rightsstatement,type,format,language,moscow number,fs number,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Device for measuring wood moisture,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Another device for measuring wood moisture. This Blinkometer invented by M.E. Dunlap of the Forest Products Laboratory for studying the moisture content of lumber is being found very useful in forest fire research. It is only during extremely critical years that logs of this size dry out sufficiently in the center so that they burn completely. Pictured is George Jemison.,1935,,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum11,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3025,309745,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/338,338,expforsav338,image,expforsav338.jpg,https://objects.lib.uidaho.edu/expforest/expforsav338.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav338_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav338_th.jpg,
Four types of psychrometers for measuring the relative humidity of the atmosphere,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Four types of psychrometers for measuring the relative humidity of the atmosphere. Each type has its particular advantages and special uses. There are at least three other types, also used.",1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Office,,"Bonner County, Idaho",Priest River Experimental Forest Office,48.35083333,-116.8344444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum12,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3026,309726,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/339,339,expforsav339,image,expforsav339.jpg,https://objects.lib.uidaho.edu/expforest/expforsav339.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav339_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav339_th.jpg,
Headquarters construction,K.P. Davis,Headquarters construction progress at the end of the 1934 season.,1934,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,"Kootenai County, Idaho",Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Deception Creek Experimental ForestHeadquarters34B,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,674,298539,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/340,340,expforsav340,image,expforsav340.jpg,https://objects.lib.uidaho.edu/expforest/expforsav340.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav340_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav340_th.jpg,
The interior of a meteorological instrument shelter,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","The interior of a meteorological instrument shelter. Included here are maximum and minimum thermometers, a hygrothermograph, and the Weather Bureau type of whirling psychrometer.",1935,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum13,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3027,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/341,341,expforsav341,image,expforsav341.jpg,https://objects.lib.uidaho.edu/expforest/expforsav341.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav341_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav341_th.jpg,
An ordinary maximum thermometer is used to check the accuracy of the automatic recorder,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",An ordinary maximum thermometer is inserted in the duff and used to check the accuracy of the automatic recorder. The vertical wire pin is used to prevent pack rats from stealing the thermometer. The sling psychrometer handle is used to facilitate 'setting' the thermometer.,1935,,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum14,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3028,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/342,342,expforsav342,image,expforsav342.jpg,https://objects.lib.uidaho.edu/expforest/expforsav342.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav342_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav342_th.jpg,
A barograph and a mercurial barometer for measuring the weight or pressure of the atmosphere,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","A barograph and a mercurial barometer for measuring the weight or pressure of the atmosphere. Such measurements are essential to accurate weather forecasting. Aneroid barometers may also be used, if they are checked for accuracy by comparison with mercurial barometer measurements",1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Office,,"Bonner County, Idaho",Priest River Experimental Forest Office,48.35083333,-116.8344444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum15,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3029,309753,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/343,343,expforsav343,image,expforsav343.jpg,https://objects.lib.uidaho.edu/expforest/expforsav343.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav343_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav343_th.jpg,
Wood cylinders,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","So that the wood cylinders used at all stations may be exactly alike they are lathe-turned from carefully selected ponderosa pine sapwood. Two sizes are used, the 1/2-inch diameter 'triplets', and the 2-inch diameter size. Both are 18 inches long. At all stations the cylinders are held level, 10 inches above the ground,  with the ends pointing north and south, the tagged end north, and the number right side up. G. Lloyd Hayes pictured here.",1935,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum16,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3030,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/344,344,expforsav344,image,expforsav344.jpg,https://objects.lib.uidaho.edu/expforest/expforsav344.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav344_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav344_th.jpg,
Large dowel tested at an inflammability station for reliability in measuring fuel moisture [03],"Thompson, J. B.",Large dowel tested at an inflammability station for reliability in measuring fuel moisture. The following two photos show a variety of diameters being tested.,1930,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",30FuelMoistureStick2,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1200,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/345,345,expforsav345,image,expforsav345.jpg,https://objects.lib.uidaho.edu/expforest/expforsav345.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav345_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav345_th.jpg,
Weighing a set of triplets to determine their moisture content,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Weighing a set of triplets to determine their moisture content. Moisture contents can be determined to an accuracy of 1%. Moistures of less than 5% are extremely critical. The air temperature must be 100 F. or more and the relative humidity must be 10% or less for many hours in order to produce 2% moisture in the half-inch cylinders. G. Lloyd Hayes pictured,1935,,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum17,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3031,309723,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/346,346,expforsav346,image,expforsav346.jpg,https://objects.lib.uidaho.edu/expforest/expforsav346.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav346_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav346_th.jpg,
Duff hygrometer spikes being dried in an electric oven,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Every duff hygrometer must be calibrated annually. This is done by testing each instrument in several cans each filled with duff of known moisture content. These cans, with holes in the ends for inserting the duff hygrometer spikes, are shown here being dried in an electric oven. G. Lloyd Hayes pictured; the oven is still in use.",1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Office,,"Bonner County, Idaho",Priest River Experimental Forest Office,48.35083333,-116.8344444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum18,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3032,350669,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/347,347,expforsav347,image,expforsav347.jpg,https://objects.lib.uidaho.edu/expforest/expforsav347.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav347_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav347_th.jpg,
Duff hygrometer properly inserted in the duff,"Gisborne, Harry Thomas, 1893-1949","One duff hygrometer properly inserted in the duff, with the spike horizontal and covered by only a thin layer of duff. The instrument on top the duff indicated the length of the spike, and shows the dial face opened for reading.",1935,,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum19,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3033,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/348,348,expforsav348,image,expforsav348.jpg,https://objects.lib.uidaho.edu/expforest/expforsav348.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav348_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav348_th.jpg,
Set of weed cylinders and a duff hygrometer properly set beneath a standard screen,"Gisborne, Harry Thomas, 1893-1949",Measurement of duff and wood moisture at many stations must be made under the same amount of shade if they are to be accurately comparable. A wire screen is provided to all stations so that this shade may be the same at all of them. This photo shows a set of weed cylinders and a duff hygrometer properly set beneath a standard screen.,1935,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum20,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3034,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/349,349,expforsav349,image,expforsav349.jpg,https://objects.lib.uidaho.edu/expforest/expforsav349.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav349_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav349_th.jpg,
Measuring relative humidity by use of a 'pocket type' sling psychrometer,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Measuring relative humidity by use of a 'pocket type' sling psychrometer. Such measurements are always made in the shade, protected from direct sun, and protected from rain, but in freely circulating air. G. Lloyd Hayes pictured.",1935,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Looking Glass fire lookout,,"Bonner County, Idaho",Priest River Experimental Forest; Looking Glass fire lookout,48.34944444,-116.7561111,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum21,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3035,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/350,350,expforsav350,image,expforsav350.jpg,https://objects.lib.uidaho.edu/expforest/expforsav350.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav350_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav350_th.jpg,
Continuous records of temperature and humidity are obtained by use of either a hygrothermograph (top) or a hygrograph (left) and a thermograph (right),"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Continuous records of temperature and humidity are obtained by use of either a hygrothermograph (top) or a hygrograph (left) and a thermograph (right). Human hair is used as the active element in the hygrograph shown.,1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Office,,"Bonner County, Idaho",Priest River Experimental Forest Office,48.35083333,-116.8344444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum22,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3036,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/351,351,expforsav351,image,expforsav351.jpg,https://objects.lib.uidaho.edu/expforest/expforsav351.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav351_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav351_th.jpg,
An inexpensive ($8) instrument shelter,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","An inexpensive ($8) instrument shelter. Exposed inside of it are: maximum and minimum thermometers, soil and air temperature recorder, and a hygrograph for recording relative humidity. Joy Armstrong.",1935,,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum23,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3037,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/352,352,expforsav352,image,expforsav352.jpg,https://objects.lib.uidaho.edu/expforest/expforsav352.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav352_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav352_th.jpg,
One type of soil and air temperature recorder,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","One type of soil and air temperature recorder. The long bulb in the foreground is inserted horizontally in the sod or duff at the depth desired. The special coil on the left side of the instrument responds to air temperature. A surface duff temperature of 148? has been recorded at Priest River with this instrument. On that day, the maximum thermometer, shown on the next page, registered an absolute maximum of 158?F. The maximum temperature of the air was 105? that day.",1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Office,,"Bonner County, Idaho",Priest River Experimental Forest Office,48.35083333,-116.8344444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum24,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3038,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/353,353,expforsav353,image,expforsav353.jpg,https://objects.lib.uidaho.edu/expforest/expforsav353.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav353_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav353_th.jpg,
The interior of a meteorological instrument shelter,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","The interior of a meteorological instrument shelter. Included here are maximum and minimum thermometers, a hygrothermograph, and the Weather Bureau type of whirling psychrometer.",1935,,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum24a,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3039,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/354,354,expforsav354,image,expforsav354.jpg,https://objects.lib.uidaho.edu/expforest/expforsav354.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav354_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav354_th.jpg,
Anemometer to determine wind velocity,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",G. Lloyd Hayes reading the anemometer to determine wind velocity 8 feet above the ground. A second anemometer mounted in the tree top 135 feet above the ground records the wind velocity automatically. The wind in the tree top is usually about three times that at the 8-foot level.,1935,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest--Demorest Creek,,"Kootenai County, Idaho",Deception Creek Experimental Forest; Demorest Creek,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum25,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3040,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/355,355,expforsav355,image,expforsav355.jpg,https://objects.lib.uidaho.edu/expforest/expforsav355.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav355_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav355_th.jpg,
Large dowel tested at an inflammability station for reliability in measuring fuel moisture [01],"Thompson, J. B.",Large dowel tested at an inflammability station for reliability in measuring fuel moisture. The following two photos show a variety of diameters being tested.,1930,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,"Bonner County, Idaho",Priest River Experimental Station; Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",30FuelMoistureStick3,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1201,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/356,356,expforsav356,image,expforsav356.jpg,https://objects.lib.uidaho.edu/expforest/expforsav356.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav356_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav356_th.jpg,
3-cup anemometer,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","A 3-cup anemometer which (1) registers mileage on its dial in the manner of the mileage dial on an automobile, (2) registers every mile of wind when connected to a suitable recorder, and (3) registers the current velocity when properly connected to an electrical buzzer. Such an instrument costs about $80.",1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Office,,"Bonner County, Idaho",Priest River Experimental Forest Office,48.35083333,-116.8344444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum26,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3041,309752,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/357,357,expforsav357,image,expforsav357.jpg,https://objects.lib.uidaho.edu/expforest/expforsav357.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav357_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav357_th.jpg,
A single magnet register for recording wind velocity,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",A 'single magnet register' for recording wind velocity only. A 3-cup or 4-cup anemometer is used with this register. The two 'wet cells' supply the electric current for actuating the magnet.,1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Looking Glass fire lookout,,"Bonner County, Idaho",Priest River Experimental Forest; Looking Glass fire lookout,48.34944444,-116.7561111,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum27,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3042,309716,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/358,358,expforsav358,image,expforsav358.jpg,https://objects.lib.uidaho.edu/expforest/expforsav358.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav358_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav358_th.jpg,
Same as Moscow #653,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Same as Moscow #653,1937,Yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,"Kootenai County, Idaho",Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Deception Creek Experimental ForestHeadquarters37,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,674,351743,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/359,359,expforsav359,image,expforsav359.jpg,https://objects.lib.uidaho.edu/expforest/expforsav359.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav359_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav359_th.jpg,
"A two magnet register for recording wind velocity, rainfall, and sunshine.","Swan, Kenneth D. (Kenneth Dupee), 1887-1970","A 'two magnet register' for recording wind velocity, rainfall, and sunshine. This instrument was used for 23 summers ar the Priest River station. It was recently replaced by the quadruple register shown below.",1935,,United States--Idaho--Bonner County--Priest River Experimental Forest--Looking Glass fire lookout,,"Bonner County, Idaho",Priest River Experimental Forest; Looking Glass fire lookout,48.34944444,-116.7561111,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FireAlbum28,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,3043,309741,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/360,360,expforsav360,image,expforsav360.jpg,https://objects.lib.uidaho.edu/expforest/expforsav360.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav360_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav360_th.jpg,
