objectid,parentid,title,creator,recipient ,date,approximated_date,archival_date,description,subject,location,latitude,longitude,source,filename,identifier,type,format,format_original,findingaid,digital_collection,contributing_institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,object_transcript
cougar-dave_136,,Two men and mountain goat,,,,,undated,Two men and a dead mountain goat lay on some rocks. Two half-hidden figures of dogs are in the photograph background. David Lewis is pictured on the left.,photographs; people; mountain goat; animals; hunting; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-029.jpg,mg190_b1_f07_e2-029,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-029.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-029_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-029_th.jpg,
cougar-dave_137,,Letter from C. P. Fordyce,"Fordyce, Claude P.",Dave,1925-06-23,,23 June 1925,"A letter from C. P. Fordyce about his interest in Dave's life events, packages, and a rotary club.",letters; packages; organizations,"Falls City, Nebraska",40.06070791,-95.60139277,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-030.pdf,mg190_b1_f07_e2-030,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-030.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-030_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-030_th.jpg,
cougar-dave_138,,May Pipe Gas From Oklahoma,,,,,undated,"A newspaper clipping titled ""May Pipe Gas Oklahoma: Foreign Companies Cause the Defeat of Law Passed by the State"".",newspapers; newspaper clippings; gas; laws,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-031.pdf,mg190_b1_f07_e2-031,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-031.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-031_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-031_th.jpg,
cougar-dave_139,,Man holding antlers in front of a tent,,,,,undated,"A man holds a set of antlers, in midst of two large camping tents.",photographs; antlers; camping; tents; wilderness,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-032.jpg,mg190_b1_f07_e2-032,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-032.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-032_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-032_th.jpg,
cougar-dave_140,,Man sitting with dog in front of tent,,,,,undated,"A man sits underneath two large tent covers, a dog lays to his left.",photographs; camping; tents; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-033.jpg,mg190_b1_f07_e2-033,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-033.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-033_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-033_th.jpg,
cougar-dave_141,,Letter from Elmer D. Davies,"Davies, Elmer D.","Lewis, David",1928-12-22,,22 December 1928,A letter to Elmer D. Davies to David Lewis about a future trip for animal hunting in Idaho.,letters; trips; hunting,"Clover, Idaho",42.51461075,-114.6860871,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-034.pdf,mg190_b1_f07_e2-034,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-034.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-034_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-034_th.jpg,
cougar-dave_142,,Far-shot of two horse riders,,,,,undated,"A far-shot protrait photograph of a horse and rider in a beautiful landscape. A bare, rocky cliffside and lake reside in the background. Grass, wildflowers, and rocks blur in the foreground.",photographs; horses; horseriders; horseriding; landscape; wilderness; cliffs; lakes; wildflowers; rocks,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-035.jpg,mg190_b1_f07_e2-035,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-035.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-035_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-035_th.jpg,
cougar-dave_143,,Letter from Lucas V. Parker,"Parker, Lucas V.","Lewis, Dave",1914-10-23,,23 October 1914,A letter from Lucas V. Parker to Dave Lewis about legal proceedings on ownership of horses.,letters; laws; legal proceedings; horses,"Edwardsburg, Idaho",45.11892127,-115.3259564,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-036.pdf,mg190_b1_f07_e2-036,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-036.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-036_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-036_th.jpg,
cougar-dave_144,,Letter from Armie Rafrin Edmund,"Edmund, Armie Rafrin",Lewis,,,undated,A letter from Armie Edmund Rafrin about Lewis' illness and sending supplies to Lewis.,letters; illnesses; supplies,"Edwardsburg, Idaho",45.11892127,-115.3259564,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-037.pdf,mg190_b1_f07_e2-037,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-037.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-037_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-037_th.jpg,
cougar-dave_145,,Syndicalism: A clear Exposition of this Unionism and the Minimum Wage,,,,,undated,"A newspaper clipping titled ""Syndicalism: A Clear Exposition of this Unionism and the Minimum Wage"".",newspapers; newspaper clippings; writing; books; unions; wages,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-038.pdf,mg190_b1_f07_e2-038,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-038.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-038_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-038_th.jpg,
cougar-dave_146,,Letter from Ford M. Jaydar,"Jaydar, Ford M.","Lewis, David",,,undated,A letter from Ford M. Jaydar to David Lewis about bank operations.,letters; banks; banking,"Cascade, Idaho",44.51629092,-116.0408921,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-039.pdf,mg190_b1_f07_e2-039,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-039.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-039_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-039_th.jpg,
cougar-dave_147,,Letter from B. J. Snydey,"Snydey, B. J.","Lewis, Davis",1911-07-14,,14 July 1911,A letter from B. J. Snydey to Davis Lewis.,letters,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-040.pdf,mg190_b1_f07_e2-040,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-040.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-040_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-040_th.jpg,
cougar-dave_148,,Letter from J. I. Overman,"Overman, J. I.","Lewis, David",1910-04-05,,05 April 1910,A letter from J. I. Overman to David Lewis about cougar hide payments.,letters; cougars; animals hides; animals skins; money; payments,"White Bird, Idaho",45.76013061,-116.3016878,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-042.pdf,mg190_b1_f07_e2-042,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-042.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-042_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-042_th.jpg,
cougar-dave_149,,Handwritten Note,"Pidley, HC",,,,undated,A handwritten note by HC Pidley about payments.,notes; handwritten; payments,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-043.pdf,mg190_b1_f07_e2-043,Text,application/pdf,document,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-043.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-043_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-043_th.jpg,
cougar-dave_150,,"""Sryup of Figs and Senna Compound: An Agreeable and Effective Remedy for Constipation"" Newspaper Clipping",Hoyt Chemical Company,,,,undated,"A newspaper clipping titled ""Sryup of Figs and Senna Compound: An Agreeable and Effective Remedy for Constipation"".",newspapers; newspaper clippings; syrups; medicine; constipation,"Portland, Oregon",45.51517681,-122.6756981,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-044.pdf,mg190_b1_f07_e2-044,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-044.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-044_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-044_th.jpg,
cougar-dave_151,,"""Leave It Alone Is Best Advice in Appendicitis"" Newspaper Clipping","Clendening, Logan",,,,undated,"A newspaper clipping titled ""Leave It Alone is Best Advice in Appendicitis"" about the author's traveling companion dealing with appendicitis.",newspapers; newspaper clippings; medical practices; appendicitis; travel,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-045.pdf,mg190_b1_f07_e2-045,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-045.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-045_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-045_th.jpg,
cougar-dave_152,,Letter to Elmer D. Davies,,"Davies, Elmer D.",1928-04-18,,18 April 1928,"A letter to Elmer D. Davies about bringing Uncle Dave ""outside"".",letters; events,"910 American Trust Bldg., Nashville, Tennesse",36.16528351,-86.77878283,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-046.pdf,mg190_b1_f07_e2-046,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-046.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-046_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-046_th.jpg,
cougar-dave_153,,"""Old Time America Beats Any League, Is View of Borah"" Newspaper Clipping",,,,1919,1915-1923,"A newspaper clipping titled ""Old Time America Beats Any League, Is View of Borah"" about an Idaho senator's beliefs on America.",newspapers; newspaper clippings; government; senators,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-047.pdf,mg190_b1_f07_e2-047,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-047.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-047_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-047_th.jpg,
cougar-dave_154,,"A. A. Austin, Furrier and Taxidermist Note",,,,,undated,"A note on A. A. Austin, Furrier and Taxidermist Company, about customer satisfaction and price list.",notes; organizations; customers; prices,"617 Main St., Boise, Idaho",43.61479049,-116.202002,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-048.pdf,mg190_b1_f07_e2-048,Text,application/pdf,document,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-048.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-048_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-048_th.jpg,
cougar-dave_155,,Scrapbook page [01],,,,,undated,A note on chains on their lengths. A half-torn price listing of animal furs. A Christmas greeting card.,notes; chains; measurements; prices; animals; animal furs; holidays; greeting card,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-049.pdf,mg190_b1_f07_e2-049,Text,application/pdf,scrapbook page,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-049.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-049_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-049_th.jpg,
cougar-dave_156,,Scrapbook page [02],,,,,undated,"A full 12-month calendar for 1896. A newspaper clipping titled ""Over Half of the World Now is Involved in War"". A second newspaper clipping titled ""Piles: 20 Years Cured For 50c"".",calendar; newspapers; newspaper clippings; war; medicine; illnesses,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-050.pdf,mg190_b1_f07_e2-050,Text,application/pdf,scrapbook page,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-050.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-050_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-050_th.jpg,
cougar-dave_157,,Scrapbook page [03],,,,,undated,"A newspaper clipping titled ""Notice of Forfeiture--To Charles"". A blue and gold seal for Burke & James Photo Supplies. A note on item payment for a Dave Lewis. A note certifying genuine field glass in Lemaire, Paris.",newspapers; newspaper clippings; notices; seals (marks); notes; payments; glass,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f07_e2-051.pdf,mg190_b1_f07_e2-051,Text,application/pdf,scrapbook page,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f07_e2-051.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f07_e2-051_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f07_e2-051_th.jpg,
cougar-dave_158,,Horse drinking  ,"Bolles, Warren H.",,1928-08,,August 1928,"A horse drinks from a river. A photograph caption about the Big Creek stream pictured, and additional information about Uncle Dave Lewis and W. H. Bolles.","photographs; animals; horses, rivers",,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",,,,,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,multiple,,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f8_001a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f8_001a_th.jpg,
cougar-dave_159,cougar-dave_158,,,,,,,,,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f8_001a.jpg,mg190_b1_f8_001a,Image;StillImage,image/jpeg,,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,,,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f8_001a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f8_001a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f8_001a_th.jpg,
cougar-dave_160,cougar-dave_158,,,,,,,,,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f8_001b.jpg,mg190_b1_f8_001b,Image;StillImage,image/jpeg,,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,,,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f8_001b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f8_001b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f8_001b_th.jpg,
cougar-dave_161,,Solitary Headstone,"Bolles, Warren H.",,1928-08,,August 1928,A solitary headstone pictured in the photograph. Rolling hills with sparse trees are featured in the background. A photograph caption about a monument for a soldier's death during the Sheepeater Indian war.,photographs; headstones; hills; landscape; trees,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",,,,,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,multiple,,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f8_002a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f8_002a_th.jpg,
